item_id,name,brand_raw,name_clean,info_category_0,info_category_1,info_category_2,info_category_3,sizing_size_user_friendly,size_bucket,is_private_label_inferred,url
2246484,"(2 pack) Big Joe Joey Bean Bag Chair, Smartmax, Kids/Teens, 2.5ft, Black",Big Joe,,Home,Furniture,Bean Bag Chairs,,2.5',,False,https://www.walmart.com/ip/2-pack-Big-Joe-Joey-Bean-Bag-Chair-Smartmax-Kids-Teens-2-5ft-Black/14953874689
2205685,POP Movies: MMPR Movie- Red Ranger,Funko,,Toys,Action Figures and Playsets,Funko Pop Vinyl Figures,Funko Pop Movie Characters,,,False,https://www.walmart.com/ip/POP-Movies-MMPR-Movie-Red-Ranger/15783863493
2202063,(6 pack) Krusteaz Cinnamon Churro Belgian Waffle Mix,Krusteaz,,Food,Holiday baked goods,,,,count:6,False,https://www.walmart.com/ip/6-pack-Krusteaz-Cinnamon-Churro-Belgian-Waffle-Mix/5213694752
2259189,"Toy Story Baby Boys' Short Sleeve Graphic Tee and Shorts Set, 2-Piece, Sizes 0/3M-24M",Disney Pixar Toy Story,,Clothing,Kids Clothing,Kids Clothing Character Shop,Kids Character Shop,,,False,https://www.walmart.com/ip/Toy-Story-Baby-Boy-s-Short-Sleeve-Graphic-T-Shirt-with-Matching-Short-Sizes-0-3M-24M/17750323117
2232074,"Hyper Tough K7BHT 18mm Carbon Steel Snap Off Blades, 5 per Card",Hyper Tough,,Sports & Outdoors,Outdoor Sports,Hunting,Hunting Knives,18 mm,,False,https://www.walmart.com/ip/Hyper-Tough-K7BHT-18mm-Carbon-Steel-Snap-Off-Blades-5-per-Card/549299709
2109538,"(6 pack) KendaKids Complete Nutrition Shake with Protein & DHA, Creamy Chocolate, 8 fl oz, (6 Pack)",Kendamil,,Baby,Feeding,Baby Drinks,Kenda Kids Nutrition Shakes,8-fl-oz,,False,https://www.walmart.com/ip/6-pack-Kendakids-Vita-Boost-Nutritional-Shake-Creamy-Chocolate-8-fl-oz-Bottle-6-Shakes/15698072620
364013,"Benadryl Ultratabs Antihistamine Allergy Medicine, Diphenhydramine HCl Tablets, 24 ct",Benadryl,,Health and Medicine,Allergy Medicine,Shop all Allergy Medicine,,,count:24,False,https://www.walmart.com/ip/Benadryl-Ultratabs-Antihistamine-Allergy-Medicine-Diphenhydramine-HCl-Tablets-24-ct/114324456
1916235,"Tetra TetraMin Tropical Flakes Nutritionally Balanced Fish Food, 7.06 oz.",,,Pets,Fish Supplies,,,,weight:7.1,False,https://www.walmart.com/ip/Tetra-TetraMin-Tropical-Flakes-Nutritionally-Balanced-Fish-Food-7-06-oz/10312984
2747605,"Dr. Brown's Options+ Wide-Neck Baby Bottle Nipple, Level 1 (0 Months+), 6 Count",,,,,,,,count:6,False,https://www.walmart.com/ip/Dr-Brown-s-Options-Wide-Neck-Baby-Bottle-Nipple-Level-1-0-Months-6-Count/1873309109
374983,Life Savers Christmas Stocking Stuffer Fruit Flavored Gummy Candy - 7 oz Box,Life Savers,,Food,Candy,Fruit Flavored & Sour Candy,Fruit Flavored Candy,,weight:7,False,https://www.walmart.com/ip/Life-Savers-Christmas-Stocking-Stuffer-Fruit-Flavored-Gummy-Candy-7-oz-Box/765172510
1918775,"So Delicious Cocowhip Original Coconut Whipped Topping, 9 oz",,,Food,Dietary & Lifestyle Shop,Dairy Free Foods,,,weight:9,False,https://www.walmart.com/ip/So-Delicious-Dairy-Free-Original-CocoWhip-Vegan-9-Oz-Tub/188878410
366483,CFXNMZGR Intimates For Women Lingerie Fishnet Crotchless Bodysuits Nightwear,TOTO,,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie",Womens Lingerie,,,False,https://www.walmart.com/ip/CFXNMZGR-Intimates-For-Women-Lingerie-Fishnet-Crotchless-Bodysuits-Nightwear/1900080616
2068175,"Vital Proteins Chocolate Collagen & Protein Shake, 30g Total Protein Including 10g Collagen Peptides, Collagen Support for Hair, Skin, Nails & Joints",Vital Proteins,,Health and Medicine,Protein,Protein Drinks,,,weight:1.1,False,https://www.walmart.com/ip/Vital-Proteins-Collagen-Plus-Protein-Shake-Chocolate-4pk/16362063806
2070271,"Stouffers Hidden Valley Chicken Bacon Ranch Pasta, Single Serve Shells and Cheese, Frozen 10 oz",Stouffer's,,Food,Frozen Foods,Frozen Meals,,,weight:10,False,https://www.walmart.com/ip/STOUFFER-S-Frozen-Meal-Chicken-Bacon-Ranch-Pasta-10oz-Box/17262868077
2093202,"Loacker Quadratini Tiramisù, Cream-Filled Bite-Size Wafer Cookies, 7.76 oz, Pack of 6",Loacker,,Food,"Snacks, Cookies & Chips",Cookies,Shop All Cookies,15.52 oz,weight:16,False,https://www.walmart.com/ip/Loacker-Quadratini-Tiramis-Cream-Filled-Bite-Size-Wafer-Cookies-7-76-oz-Pack-of-6/1536159626
364935,"Wahl Micro Groomsman AAA 2-in-1 Detail Trimmer for Men, Satin Nickel-Black, #5640-600",Wahl,,Personal Care,Personal Care by Brand,Wahl,All Wahl,,,False,https://www.walmart.com/ip/Wahl-Micro-Groomsman-AAA-2-in-1-Detail-Trimmer-for-Men-Satin-Nickel-Black-5640-600/14324476
1934054,"Freshness Guaranteed Fresh White Meat Chicken Salad with Cranberries, Celery, and Pecans, 12 oz",,,Food,Seasonal Grocery,Back to College Food,Back to College Ready-To-Eat Lunch,,weight:12,False,https://www.walmart.com/ip/Freshness-Guaranteed-Fresh-White-Meat-Chicken-Salad-with-Cranberries-Celery-and-Pecans-12-oz/471254264
2203355,"Reebok Women's Move High Rise Skort, Sizes XS-4X",Reebok,,Sports & Outdoors,Sports,Tennis & Racquets,Tennis Skirts,,,False,https://www.walmart.com/ip/Reebok-Women-s-Move-High-Rise-Skort-Sizes-XS-XXXL/18194118660
2673882,Tao Baby Boy Girl Pacifier And Clips With Rhinestones Rose Gold Bling Letters Baby Infant Newborn Pacifier Teething ToyRose GoldA,,,,,,,,,False,https://www.walmart.com/ip/Tao-Baby-Boy-Girl-Pacifier-And-Clips-With-Rhinestones-Rose-Gold-Bling-Letters-Baby-Infant-Newborn-Pacifier-Teething-ToyRose-GoldA/13352624311
1936145,"Equate Chocolate Original Nutritional Shake, 8 FL OZ, 6 Count",,,Health and Medicine,Weight Loss,,,,volume:8,False,https://www.walmart.com/ip/Equate-Original-Nutritional-Shake-Chocolate-8-fl-oz-6-Count/34720323
2750976,"Avia Women's and Women's Plus Compression Waist Running Shorts, Sizes XS-4X",,,,,,,,,False,https://www.walmart.com/ip/Avia-Women-s-and-Women-s-Plus-Compression-Waist-Running-Shorts-Sizes-XS-4X/10050319069
2057488,"Airborne 750mg Vitamin C Immune Support Gummies, Multivitamin Supplement, Assorted Fruit Flavor, 42 ct",,,Health and Medicine,Medicine Cabinet,Medicine Stock-Up,,,count:42,False,https://www.walmart.com/ip/Airborne-750mg-Vitamin-C-Immune-Support-Gummies-Multivitamin-Supplement-Assorted-Fruit-Flavor-42-ct/28832492
2270670,(3 pack) FlavorGod Buttery Cinnamon Roll Topper,Flavor God,,Food,Pantry,Pantry meal essentials,,5.58 oz,weight:5.6,False,https://www.walmart.com/ip/3-pack-FlavorGod-Buttery-Cinnamon-Roll-Topper/15369604605
1939576,"Diet Pepsi Soda, 16.9 oz Bottles, 12 Count",,,Food,Beverages,Soda Pop,,,weight:17,False,https://www.walmart.com/ip/Diet-Pepsi-Soda-16-9-oz-Bottles-12-Count/149467333
2241820,Better Homes & Gardens-Collins Cream Stoneware Round Dinner Bowl,Better Homes & Gardens,,Home,Kitchen & Dining,Bowls,Shop Bowls,,,False,https://www.walmart.com/ip/Better-Homes-Gardens-Collins-Cream-Stoneware-Round-Dinner-Bowl/5563401655
2258874,"Schwebel Baking Country  Potato Bread, 20 oz",Schwebel's,,Food,Bakery & Bread,Rolls,Potato Rolls,20 oz,weight:20,False,https://www.walmart.com/ip/Schwebel-Baking-Country-Potato-Bread-20-oz/10402814
2270343,"Carter's Child of Mine Baby Boy Outfit Set, 2-Piece, Sizes 0/3-24 Months",Carter's Child of Mine,,Clothing,Kids Clothing,Baby Clothes,Baby Boys Clothing,,,False,https://www.walmart.com/ip/Carter-s-Child-of-Mine-Baby-Boy-Outfit-Set-2-Piece-Sizes-0-3-24-Months/18570757642
1940453,"Crest Pro Health Alcohol Free Mouthwash, Clean Mint, 1.5 L",,,Personal Care,Personal Care Mindful Living Shop,,,,volume:51,False,https://www.walmart.com/ip/Crest-Pro-Health-Alcohol-Free-Mouthwash-Clean-Mint-1-5-L/10312144
2057308,"Similac 360 Total Care Ready-to-Feed Baby Formula, 8-fl-oz Bottle, Pack of 6",Similac,,Health and Medicine,Baby & Maternity Allowance,,,,,False,https://www.walmart.com/ip/Similac-360-Total-Care-Ready-to-Feed-Baby-Formula-8-fl-oz-Bottle-Pack-of-6/503786377
2098078,Dog Seat Cover-LAKWAR Non-slip Dog Car Hammocks with Seatbelt Dog Car Seat Cover Waterproof and Scratch-Resistant Dog Car Back Seat Protection,LAKWAR,,Pets,Dogs,Dog Carriers,Dog Car Seat Covers and Harnesses,One Size,,False,https://www.walmart.com/ip/Dog-Seat-Cover-LAKWAR-Non-slip-Dog-Car-Hammocks-with-Seatbelt-Dog-Car-Seat-Cover-Waterproof-and-Scratch-Resistant-Dog-Car-Back-Seat-Protection/843581941
2256814,"Nature's Bounty Vitamin D3 Softgels, 50 mcg, 2000 IU, 150 Ct",Nature's Bounty,,Health and Medicine,Vitamins and Supplements,Letter Vitamins,Vitamin D,,count:150,False,https://www.walmart.com/ip/Nature-s-Bounty-Vitamin-D3-Softgels-50-mcg-2000-IU-150-Ct/46108774
2207139,"Spin Master Games, Wood Chess, Checkers, and Backgammon 3-in-1 Set, for Ages 8 and up",Spin Master Games,,Toys,All Toys & Games,,,,,False,https://www.walmart.com/ip/Spin-Master-Games-Wood-Chess-Checkers-and-Backgammon-3-in-1-Set-for-Ages-8-and-Up/455858422
1948474,"Alessi Premium Balsamic Vinegar Reduction, Traditional Balsamic, 8.5 fl oz",,,Food,Pantry,International foods,Italian foods,,volume:8.5,False,https://www.walmart.com/ip/Alessi-Premium-Balsamic-Vinegar-Reduction-Traditional-Balsamic-8-5-fl-oz/46409397
2096276,"EverBrite Rechargeable Camping Lantern with Fan- 4400mAh Power Bank, Camping Fan with 3 Fan Speeds, Portable 1000LM Handheld Light with Hanging Hook for Summer Camping, Hiking, USB Cable Included",EVERBRITE,,Sports & Outdoors,Outdoor Sports,Camping Gear,Flashlights & Lanterns,,,False,https://www.walmart.com/ip/EVERBRITE-Rechargeable-Camping-Lantern-Fan-4400mAh-Power-Bank-Camping-Fan-3-Fan-Speeds-Portable-1000LM-Handheld-Light-Hanging-Hook-Summer-Camping-Hik/17765307750
2250416,TX16L EverStart AGM Factory Activated Powersport 12 Volt Battery 230 CCA 14 RC,WAL-MART BATTERIES,,Auto & Tires,Automotive Replacement Parts,Engine & Powertrain Replacement Parts,Batteries and Accessories,,volume:541,False,https://www.walmart.com/ip/TX16L-EverStart-AGM-Factory-Activated-Powersport-12-Volt-Battery-230-CCA-14-RC/1745209547
2258544,Skittles Sour Chewy Easter Candy Bunny Cane - 2.58 oz Cane,SKITTLES,,Food,Candy,Easter Candy,Easter Basket Stuffers,2.58ONZ,,False,https://www.walmart.com/ip/SKITTLES-GUMMIES-SOUR-CANE-EASTER-2-5-OZ/16272070064
2252177,"Magic Time Mini 6” Rubber Football, Toy Ball, Red, Kids Teen Adult, Unisex, New",Magic Time,,Toys,Shop Toys by Age,Toys for Adults,,,,False,https://www.walmart.com/ip/Magic-Time-Mini-6-Rubber-Football-Toy-Ball-Red-Kids-Teen-Adult-Unisex-New/989066499
2070633,"Pure Leaf Raspberry Real Brewed Iced Tea, 16.9 oz, 12 Pack Bottles",,,Food,Beverages,Tea,,,weight:17,False,https://www.walmart.com/ip/Pure-Leaf-Raspberry-Real-Brewed-Iced-Tea-16-9-oz-12-Pack-Bottles/114812803
2111983,Quaker Quick Cooking Oats Avena En Hojuelas 20.4oz Individual Canister,Quaker,,Food,Breakfast & Cereal,Oatmeal & Grits,Hot Cereal & Grits,11.6 oz,weight:12,False,https://www.walmart.com/ip/Quaker-Quick-Cooking-Oats-Avena-en-Hojuelas-11-6oz-Individual-Pack-Dry-Mix-Oats/3715037374
2243647,"(2 pack) Mainstays Chef Kitchen Apron, 28"" x 32"" Stripe Cotton Bib Apron with Pockets for Cooking, Baking, Gardening in Navy",Mainstays,,Home,Kitchen & Dining,Kitchen & Table Linens,Kitchen Linens,,count:2,True,https://www.walmart.com/ip/2-pack-Mainstays-Chef-Kitchen-Apron-28-x-32-Stripe-Cotton-Bib-Apron-with-Pockets-for-Cooking-Baking-Gardening-in-Navy/15298822582
